event_id,timestamp,agent_name,rule_id,rule_level,rule_groups,decoder_name,mitre_id,location,source_port,destination_port,source_is_private,destination_is_private,network_bytes,network_packets,has_network_evidence,has_audit_evidence,has_process_evidence,has_file_evidence,has_auth_evidence,has_privilege_evidence,host_events_previous_5m,same_rule_previous_5m,unique_rules_previous_10m,high_level_events_previous_10m,auth_events_previous_10m,file_events_previous_10m,privilege_events_previous_30m,mitre_events_previous_30m,rule_level_max_previous_10m,hour,day_of_week,is_after_hours,rule_count,rule_decision,rule_reason
wazuh-1788711336.962158,2026-09-06T16:15:36.751000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,9,9,1,0,9,0,0,9,3,16,6,0,10,aggregate,same rule repeated >= 10 times in 5 minutes
wazuh-1788711346.962600,2026-09-06T16:15:46.828000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,10,10,1,0,10,0,0,10,3,16,6,0,11,aggregate,same rule repeated >= 10 times in 5 minutes
wazuh-1788711358.963590,2026-09-06T16:15:58.929000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,11,11,1,0,11,0,0,11,3,16,6,0,12,aggregate,same rule repeated >= 10 times in 5 minutes
wazuh-1788711379.965128,2026-09-06T16:16:19.959000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,12,12,1,0,12,0,0,12,3,16,6,0,13,aggregate,same rule repeated >= 10 times in 5 minutes
wazuh-1788711394.965570,2026-09-06T16:16:34.014000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,13,13,1,0,13,0,0,13,3,16,6,0,14,aggregate,same rule repeated >= 10 times in 5 minutes
wazuh-1788711404.966012,2026-09-06T16:16:44.114000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,14,14,1,0,14,0,0,14,3,16,6,0,15,aggregate,same rule repeated >= 10 times in 5 minutes
wazuh-1788711424.966454,2026-09-06T16:17:04.150000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,15,15,1,0,15,0,0,15,3,16,6,0,16,aggregate,same rule repeated >= 10 times in 5 minutes
wazuh-1788711436.967816,2026-09-06T16:17:16.172000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,16,16,1,0,16,0,0,16,3,16,6,0,17,aggregate,same rule repeated >= 10 times in 5 minutes
wazuh-1788711456.969354,2026-09-06T16:17:36.252000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,17,17,1,0,17,0,0,17,3,16,6,0,18,aggregate,same rule repeated >= 10 times in 5 minutes
wazuh-1788711466.969796,2026-09-06T16:17:46.272000Z,target-kali-01,5501,3,authentication_success|pam|syslog,pam,T1078,journald,0,0,0,0,0,0,0,0,0,0,1,0,18,18,1,0,18,0,0,18,3,16,6,0,19,aggregate,same rule repeated >= 10 times in 5 minutes
