event_id,timestamp,agent_name,rule_id,rule_level,rule_groups,decoder_name,mitre_id,location,source_port,destination_port,source_is_private,destination_is_private,network_bytes,network_packets,has_network_evidence,has_audit_evidence,has_process_evidence,has_file_evidence,has_auth_evidence,has_privilege_evidence,host_events_previous_5m,same_rule_previous_5m,unique_rules_previous_10m,high_level_events_previous_10m,auth_events_previous_10m,file_events_previous_10m,privilege_events_previous_30m,mitre_events_previous_30m,rule_level_max_previous_10m,hour,day_of_week,is_after_hours,rule_count,rule_decision,rule_reason
wazuh-1788711489.973508,2026-09-06T16:18:09.711000Z,lab-sensor-01,31106,6,accesslog|attack|web,web-accesslog,T1190,/var/log/apache2/access.log,0,0,1,0,0,0,1,0,0,0,0,0,19,0,7,0,9,0,0,12,6,16,6,0,1,critical,critical rule id/group or high rule level
wazuh-1788711577.983155,2026-09-06T16:19:37.055000Z,lab-sensor-01,31106,6,accesslog|attack|web,web-accesslog,T1190,/var/log/apache2/access.log,0,0,1,0,0,0,1,0,0,0,0,0,31,1,8,0,12,0,0,18,6,16,6,0,2,critical,critical rule id/group or high rule level
wazuh-1788711668.986749,2026-09-06T16:21:08.018000Z,lab-sensor-01,31106,6,accesslog|attack|web,web-accesslog,T1190,/var/log/apache2/access.log,0,0,1,0,0,0,1,0,0,0,0,0,23,2,8,0,12,0,0,20,6,16,6,0,3,critical,critical rule id/group or high rule level
wazuh-1788711687.988133,2026-09-06T16:21:27.251000Z,lab-sensor-01,31106,6,accesslog|attack|web,web-accesslog,T1190,/var/log/apache2/access.log,0,0,1,0,0,0,1,0,0,0,0,0,25,3,8,0,12,0,0,22,6,16,6,0,4,critical,critical rule id/group or high rule level
wazuh-1788711822.996997,2026-09-06T16:23:42.330000Z,lab-sensor-01,31106,6,accesslog|attack|web,web-accesslog,T1190,/var/log/apache2/access.log,0,0,1,0,0,0,1,0,0,0,0,0,23,3,8,0,15,0,0,28,6,16,6,0,4,critical,critical rule id/group or high rule level
wazuh-1788711889.999707,2026-09-06T16:24:49.774000Z,lab-sensor-01,31106,6,accesslog|attack|web,web-accesslog,T1190,/var/log/apache2/access.log,0,0,1,0,0,0,1,0,0,0,0,0,15,3,8,0,15,0,0,30,6,16,6,0,4,critical,critical rule id/group or high rule level
wazuh-1788712114.1010431,2026-09-06T16:28:34.966000Z,lab-sensor-01,31106,6,accesslog|attack|web,web-accesslog,T1190,/var/log/apache2/access.log,0,0,1,0,0,0,1,0,0,0,0,0,13,2,6,0,9,0,0,36,6,16,6,0,3,critical,critical rule id/group or high rule level
wazuh-1788712260.1017382,2026-09-06T16:31:00.545000Z,lab-sensor-01,31106,6,accesslog|attack|web,web-accesslog,T1190,/var/log/apache2/access.log,0,0,1,0,0,0,1,0,0,0,0,0,9,1,6,0,9,0,0,41,6,16,6,0,2,critical,critical rule id/group or high rule level
wazuh-1788712307.1019655,2026-09-06T16:31:47.252000Z,lab-sensor-01,31106,6,accesslog|attack|web,web-accesslog,T1190,/var/log/apache2/access.log,0,0,1,0,0,0,1,0,0,0,0,0,11,2,6,0,8,0,0,43,6,16,6,0,3,critical,critical rule id/group or high rule level
wazuh-1788712344.1021485,2026-09-06T16:32:24.704000Z,lab-sensor-01,31106,6,accesslog|attack|web,web-accesslog,T1190,/var/log/apache2/access.log,0,0,1,0,0,0,1,0,0,0,0,0,10,3,6,0,6,0,0,45,6,16,6,0,4,critical,critical rule id/group or high rule level
